time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/clip_fraction,train/clip_range,train/std,train/entropy_loss,train/approx_kl,train/n_updates,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance
1324000,662,41.88162781,119,11102,743.57,0.0001,0.09530000401039919,0.222,0.5812126994132996,-40.225043296813965,0.015581384,9915,-0.07252372056245804,-0.03074666906295764,0.07724816636182368,0.954591915011406
1326000,663,41.54387038000001,119,11119,733.63,0.0001,0.10473333784223844,0.222,0.5798282027244568,-38.841134484608965,0.017385397,9930,-0.08455287665128708,-0.02772718053026836,0.19315255727463712,0.7630921304225922
1328000,664,41.02170554,119,11135,723.3,0.0001,0.08700000370542209,0.222,0.5788058042526245,-40.18868014017741,0.014219876,9945,-0.07631482183933258,-0.03137081792780154,0.07841303700115532,0.9440120197832584
1330000,665,41.02633095,119,11152,721.15,0.0001,0.10500000488633911,0.222,0.5762733817100525,-40.216036828358966,0.016592024,9960,-0.08340694010257721,-0.028833166122467092,0.11027012794511393,0.9312553852796555
1332000,666,40.91120375,119,11169,718.68,0.0001,0.1334666726916718,0.222,0.5760841369628906,-39.8475359916687,0.01765035,9975,-0.09108315408229828,-0.0368812162211204,0.08568050419756522,0.905968151986599
1334000,667,40.92777895,119,11186,715.63,0.0001,0.14433333994044611,0.222,0.5748750567436218,-41.04741592407227,0.01978093,9990,-0.07673301547765732,-0.04280286244971598,0.0869540724476489,0.884701207280159
1336000,668,40.69925375,119,11202,711.3,0.0001,0.13440000650395328,0.222,0.5747968554496765,-41.21690060297648,0.023146424,10005,-0.08791951835155487,-0.038567780683361266,0.11069709558117515,0.9296783357858658
1338000,669,40.633338980000005,119,11220,710.06,0.0001,0.1287000051738384,0.222,0.5745416879653931,-39.97025356292725,0.020637408,10020,-0.10769934207201004,-0.03575978440263725,0.07979050307767466,0.9262818992137909
1340000,670,40.36150673,119,11237,705.27,0.0001,0.12070000553891684,0.222,0.5744831562042236,-40.876301225026445,0.019970573,10035,-0.09740691632032394,-0.03334501780488696,0.07445722507933776,0.9589399136602879
1342000,671,40.21604399,119,11253,704.29,0.0001,0.10890000477277985,0.222,0.574863076210022,-41.04591293334961,0.016529197,10050,-0.08805780857801437,-0.028639090113603653,0.18498552672487373,0.741263210773468
1344000,672,40.02378076,119,11270,701.48,0.0001,0.1401666737976484,0.222,0.5760631561279297,-39.825373808542885,0.021768684,10065,-0.07318556308746338,-0.028896008536227313,0.17613789925041298,0.8482577204704285
1346000,673,40.02108338,119,11286,704.65,0.0001,0.15186667314264923,0.222,0.5749333500862122,-39.84912099838257,0.025049277,10080,-0.08948253840208054,-0.03578403644834178,0.09963731181342154,0.808416560292244
1348000,674,39.595350710000005,119,11303,695.49,0.0001,0.12396667183687289,0.222,0.5736839175224304,-39.88199536005656,0.02223378,10095,-0.060525767505168915,-0.029485701700527046,0.24840931734070182,0.8041097223758698
1350000,675,39.511289399999995,119,11320,694.77,0.0001,0.11430000492061178,0.222,0.5736272931098938,-40.25814704895019,0.017672073,10110,-0.07511450350284576,-0.03479917164758864,0.1638209572682778,0.903584286570549
1352000,676,39.51049017,119,11337,694.13,0.0001,0.158800007441702,0.222,0.5746279954910278,-40.17878211339315,0.023701169,10125,-0.08525971323251724,-0.04014256853711953,0.06797280168005576,0.9536098279058933
1354000,677,39.66212787,119,11353,694.28,0.0001,0.09670000389839212,0.222,0.5747012495994568,-40.17108465830485,0.017440869,10140,-0.0949043482542038,-0.03238351922503201,0.14029742656663682,0.8865466341376305
1356000,678,39.03852346,119,11370,682.72,0.0001,0.11470000477662931,0.222,0.5742946863174438,-39.40442183812459,0.016795862,10155,-0.09206762909889221,-0.035768223420466504,0.08216181901516392,0.9241345822811127
1358000,679,38.66175166000001,119,11386,678.07,0.0001,0.08573333664874856,0.222,0.5725521445274353,-39.9141850789388,0.013415346,10170,-0.06651315838098526,-0.026983826751873195,0.29143957953589655,0.6704457700252533
1360000,680,38.6601678,119,11403,677.99,0.0001,0.16233334036854405,0.222,0.5727753639221191,-39.343313980102536,0.03465133,10185,-0.10805268585681915,-0.053343721866720185,0.09126095144310967,0.928625762462616
1362000,681,38.69191715,119,11420,681.21,0.0001,0.14243333966005595,0.222,0.5731420516967773,-40.31019840240479,0.021354534,10200,-0.09008266031742096,-0.034631238334728504,0.0725419267740411,0.9514304772019386
1364000,682,38.75290162,119,11437,684.51,0.0001,0.13836667318440352,0.222,0.5717002749443054,-40.027380561828615,0.02243286,10215,-0.08481942117214203,-0.040836264103101406,0.10300360286297898,0.867641493678093
1366000,683,38.6597229,119,11454,683.02,0.0001,0.1421666732057929,0.222,0.5741814374923706,-41.24557348887126,0.020141512,10230,-0.10719196498394012,-0.03569673884275447,0.07600839219521731,0.9217475354671478
1368000,684,38.52244760000001,119,11470,681.12,0.0001,0.14576667288007836,0.222,0.5748315453529358,-39.68769890467326,0.017822951,10245,-0.09459593147039413,-0.03549996407417352,0.1802627940196544,0.8729546070098877
1370000,685,38.874086919999996,119,11487,688.47,0.0001,0.1620333403077287,0.222,0.5743197202682495,-40.54904794692993,0.025275134,10260,-0.11024479568004608,-0.047735407829793026,0.16280011164490132,0.8707076907157898
1372000,686,38.628710180000006,119,11504,685.27,0.0001,0.12083333788517242,0.222,0.5748577117919922,-41.43037192026774,0.020398948,10275,-0.03589079901576042,-0.03357992103322805,0.20986524745821952,0.8374277502298355
1374000,687,38.64689854,119,11521,690.65,0.0001,0.10133333759149536,0.222,0.5745248198509216,-39.85657024383545,0.017278526,10290,-0.0495101623237133,-0.027615180978153624,0.3687094191710154,0.7758342772722244
1376000,688,38.49748973,119,11538,686.34,0.0001,0.12080000549321994,0.222,0.5752885937690735,-40.28817361195882,0.020312896,10305,-0.07841406017541885,-0.036000750386049905,0.13935779200789208,0.8969915881752968
1378000,689,38.11982915,119,11554,678.98,0.0001,0.10020000406075269,0.222,0.5721944570541382,-40.295050684611006,0.014286325,10320,-0.07661262899637222,-0.026475095079069887,0.12658630503962437,0.8980098217725754
1380000,690,37.76793985,119,11571,672.01,0.0001,0.08676667062488073,0.222,0.5703586339950562,-40.27353134155273,0.01520041,10335,0.013901427388191223,-0.02800929966453308,0.34226863281801345,0.8003409504890442
1382000,691,37.92063340999999,119,11588,675.24,0.0001,0.10250000472879037,0.222,0.5696641206741333,-40.20887311299642,0.015993558,10350,-0.0832972452044487,-0.025776604088187525,0.15572321750223636,0.8718869537115097
1384000,692,37.822105109999995,119,11604,667.89,0.0001,0.10836667130157972,0.222,0.5688415169715881,-40.83035577138265,0.014128212,10365,-0.042739659547805786,-0.031045019116155773,0.206966700249662,0.801749661564827
1386000,693,37.72757738,119,11621,668.03,0.0001,0.0931666707387194,0.222,0.5695414543151855,-39.43372478485107,0.018133223,10380,-0.07221245765686035,-0.029154352939040576,0.13891024066445729,0.8823018446564674
1388000,694,37.69123304,119,11638,668.29,0.0001,0.1423000065027736,0.222,0.5689598321914673,-40.29307686487834,0.019914046,10395,-0.06767243146896362,-0.031552245508079065,0.17355608649862309,0.8460492044687271
1390000,695,37.21151064,119,11654,659.55,0.0001,0.10120000414705525,0.222,0.5671465992927551,-39.96342684427897,0.01694211,10410,-0.08832769095897675,-0.02850272169799434,0.168369714228902,0.8110472708940506
1392000,696,37.335717710000004,119,11671,661.41,0.0001,0.12186667203204707,0.222,0.565546989440918,-40.18265015284221,0.020362403,10425,-0.08495253324508667,-0.031067830142461735,0.09242889403443162,0.8437492847442627
1394000,697,37.652375879999994,119,11688,668.82,0.0001,0.11203333827822158,0.222,0.5639037489891052,-39.96372162501017,0.016050162,10440,-0.07377711683511734,-0.03155750454962748,0.1374746622129654,0.8804118931293488
1396000,698,37.30998651,119,11704,662.11,0.0001,0.16586667343508452,0.222,0.564220130443573,-40.710750102996826,0.026994549,10455,-0.10192577540874481,-0.044718104946055,0.059528453861518456,0.9447493068873882
1398000,699,37.057319680000006,119,11721,656.72,0.0001,0.13596667235639567,0.222,0.5627163052558899,-39.99623101552327,0.030282192,10470,-0.09455111622810364,-0.036331059466085086,0.1241275232595702,0.9142342880368233
1400000,700,36.62493375,119,11737,644.93,0.0001,0.15073333953041584,0.222,0.5628660321235657,-39.97562634150187,0.025444899,10485,-0.08869223296642303,-0.04104066315787107,0.09585643173971524,0.9269272312521935
1402000,701,36.65997993,119,11754,647.07,0.0001,0.15293333979789167,0.222,0.5623363852500916,-39.49236427942912,0.017019197,10500,-0.11891988664865494,-0.03652176053261939,0.0521367425370651,0.9373328909277916
1404000,702,36.70191241,119,11770,646.37,0.0001,0.12823333943573137,0.222,0.5637157559394836,-39.72407232920329,0.016114641,10515,-0.10264734923839569,-0.03775446157473683,0.07316406576040511,0.9453702121973038
1406000,703,36.7857524,119,11787,646.91,0.0001,0.13370000614862268,0.222,0.5626682043075562,-40.805574607849124,0.02464272,10530,-0.07459364831447601,-0.036770424707106265,0.1706552777128915,0.9028300866484642
1408000,704,36.80585764,119,11804,648.85,0.0001,0.14933334035255635,0.222,0.5616855025291443,-39.6875005086263,0.028634008,10545,-0.10749445110559464,-0.043843340991689614,0.05487539141904563,0.9525953903794289
1410000,705,36.745828859999996,119,11820,650.38,0.0001,0.1929666754595625,0.222,0.5610055327415466,-39.92671044667562,0.029156726,10560,-0.10662008076906204,-0.04520293225576267,0.11073270387326678,0.8675891309976578
1412000,706,36.99608098,119,11837,655.31,0.0001,0.15176667286238324,0.222,0.5600689053535461,-41.80462258656819,0.023248928,10575,-0.07342696189880371,-0.03791526605560153,0.3189407565475752,0.7816492021083832
1414000,707,37.185226279999995,119,11854,661.53,0.0001,0.15830000701826066,0.222,0.5600658655166626,-40.59279988606771,0.025369845,10590,-0.09942489862442017,-0.04094571941959823,0.08666032960172743,0.9111136496067047
1416000,708,37.68447725,119,11870,672.1,0.0001,0.13473333917791025,0.222,0.5590106248855591,-38.98996473948161,0.023898652,10605,-0.08807694911956787,-0.03785998408189825,0.14770802559020618,0.8402510732412338
1418000,709,37.75358362,119,11887,676.53,0.0001,0.1659333409043029,0.222,0.5576388239860535,-40.174665991465254,0.025842007,10620,-0.0903865396976471,-0.04158049559792332,0.11635362179949879,0.8723602592945099
1420000,710,38.0228643,119,11904,684.53,0.0001,0.11653333798749373,0.222,0.5554491281509399,-40.82681900660197,0.018457687,10635,-0.09828871488571167,-0.03389301170425289,0.12086744518019259,0.8760258108377457
1422000,711,38.0024834,119,11921,687.45,0.0001,0.15740000654089575,0.222,0.5542555451393127,-41.080779711405434,0.021369997,10650,-0.11077110469341278,-0.03927945244455842,0.03793426531677445,0.9706821348518133
